treat,village_code,female,bl_children_school,bl_has_elder,bl_own_land,bl_meals_eaten,el_health_index
0,40301016,1,1,0,1,3,.1344689
0,40301016,1,1,0,1,2,1.036443
0,40301016,0,1,0,0,2,-.0885202
0,40302004,0,1,0,1,2,.0815252
0,40302004,1,0,0,1,3,1.036443
0,40302004,0,1,0,1,3,.813631
0,40302004,1,1,0,1,2,-.0730596
0,40302004,1,0,0,0,3,-.0303148
0,40302005,0,0,0,1,2,.0200945
0,40302005,0,1,0,1,1,1.023759
0,40302005,1,0,0,1,2,.1344689
0,40302005,1,1,0,0,2,-2.068091
0,40302005,1,1,0,1,2,-1.506497
0,40302005,0,1,0,1,2,.1217854
0,40302005,1,1,0,1,3,.0917241
0,40302006,1,0,0,1,3,-2.136519
0,40302006,1,1,0,1,2,.0917241
0,40302006,1,1,0,1,1,-.1471278
0,40302006,0,1,0,1,2,-.03342
0,40302006,1,1,0,1,1,-.0730596
0,40302006,0,1,0,1,3,.5196763
0,40302007,1,0,1,1,1,-1.795595
0,40302007,1,0,1,1,2,-2.406321
0,40302007,0,1,0,1,3,.2322125
0,40302007,1,0,1,1,3,.1628764
0,40302007,1,0,1,1,3,-.316518
0,40302007,1,1,0,1,3,.8716591
0,40302007,1,1,0,1,2,-.4502045
1,40302008,1,1,0,1,3,1.136443
1,40302008,1,1,0,1,3,1.136443
1,40302008,1,1,0,1,3,1.093698
1,40302008,1,0,1,1,2,.2187131
1,40302008,1,0,0,0,3,.9981501
1,40302008,1,1,0,1,2,.2344689
1,40302008,1,0,0,0,3,.0539293
0,40302009,1,0,0,1,2,-.0886272
0,40302009,1,0,0,1,1,1.020687
0,40302009,1,1,0,1,1,-.2113525
1,40302010,1,1,0,0,3,1.136443
1,40302010,1,1,0,1,3,.2344689
1,40302010,1,1,0,1,3,1.093698
1,40302010,1,1,0,1,3,-.0382815
1,40302010,0,0,0,1,1,1.123759
1,40302010,1,1,0,1,1,.0696852
0,40303004,1,1,0,1,2,1.036443
0,40303004,0,1,1,1,2,.1217854
0,40303004,0,1,0,1,3,.1217854
0,40303004,1,0,0,1,3,-.410777
0,40303004,1,0,0,1,3,-1.522845
0,40303004,1,1,0,1,3,-.0303148
0,40303005,1,1,0,1,2,-.316518
0,40303005,0,1,0,1,3,.1217854
0,40303005,1,1,0,1,3,.1344689
0,40303005,0,0,0,0,3,1.023759
0,40303005,1,1,0,1,3,-.5666623
